,DATA,DECISIONE,ANDAMENTO MERCATO,OPEN,MAX,MIN,CLOSE,VOLUME,CLOSE-OPEN
731,24/11/2015,HOLD,-1,11071.0,11083.0,10867.0,10968.0,115206,-103.0
732,25/11/2015,HOLD,1,10977.5,11189.0,10920.0,11158.5,84866,181.0
733,26/11/2015,SELL,1,11175.5,11369.0,11163.0,11305.5,59363,130.0
734,27/11/2015,BUY,1,11251.5,11356.0,11243.0,11304.5,61364,53.0
735,30/11/2015,HOLD,1,11283.0,11433.5,11252.5,11353.5,78843,70.5
736,01/12/2015,HOLD,-1,11415.0,11419.0,11234.0,11295.0,94360,-120.0
737,02/12/2015,HOLD,-1,11314.5,11334.0,11078.5,11116.5,94318,-198.0
738,03/12/2015,SELL,-1,11150.0,11323.5,10641.0,10684.0,192616,-466.0
739,04/12/2015,HOLD,1,10684.0,10879.5,10630.5,10867.5,116022,183.5
740,07/12/2015,HOLD,1,10877.0,10994.5,10805.0,10930.0,92326,53.0
741,08/12/2015,SELL,-1,10885.0,10900.0,10612.5,10676.5,104499,-208.5
742,09/12/2015,HOLD,-1,10689.0,10719.5,10447.5,10502.5,117317,-186.5
743,10/12/2015,HOLD,1,10510.0,10664.0,10497.5,10575.0,80313,65.0
744,11/12/2015,HOLD,-1,10598.0,10606.0,10268.5,10281.0,124629,-317.0
745,14/12/2015,SELL,-1,10350.0,10446.5,10119.5,10287.5,130768,-62.5
746,15/12/2015,SELL,1,10262.0,10489.0,10224.0,10448.0,95213,186.0
747,16/12/2015,HOLD,1,10481.0,10650.0,10421.0,10634.0,86332,153.0
748,17/12/2015,HOLD,1,10627.0,10833.0,10526.0,10691.5,96801,64.5
749,18/12/2015,HOLD,-1,10672.0,10737.5,10514.5,10553.5,92018,-118.5
750,21/12/2015,HOLD,1,10551.0,10803.5,10475.5,10555.5,87778,4.5
751,22/12/2015,HOLD,-1,10595.0,10639.5,10401.5,10568.5,84686,-26.5
752,23/12/2015,SELL,1,10567.5,10767.0,10565.0,10758.0,68684,190.5
753,28/12/2015,HOLD,-1,10727.5,10774.5,10628.5,10702.0,43008,-25.5
754,29/12/2015,HOLD,1,10732.0,10884.0,10731.0,10868.0,49508,136.0
755,30/12/2015,BUY,-1,10884.0,10886.0,10693.5,10729.0,39642,-155.0
756,04/01/2016,BUY,-1,10519.5,10523.5,10250.0,10362.5,122056,-157.0
757,05/01/2016,HOLD,-1,10389.0,10403.5,10172.0,10342.5,96924,-46.5
758,06/01/2016,HOLD,-1,10240.0,10287.5,10093.5,10177.5,106085,-62.5
759,07/01/2016,HOLD,-1,9986.5,10041.0,9810.5,9830.0,145484,-156.5
760,08/01/2016,HOLD,-1,9973.5,10125.5,9723.0,9748.5,127371,-225.0
761,11/01/2016,HOLD,1,9696.5,9980.5,9657.0,9908.5,124235,212.0
762,12/01/2016,HOLD,1,9811.5,10094.5,9776.0,10042.0,111167,230.5
763,13/01/2016,BUY,-1,10107.0,10165.5,9734.5,9778.0,127669,-329.0
764,14/01/2016,HOLD,1,9840.0,9943.5,9612.0,9905.0,159880,65.0
765,15/01/2016,HOLD,-1,9786.0,9834.0,9410.0,9480.5,160705,-305.5
766,18/01/2016,HOLD,-1,9566.0,9660.5,9454.0,9532.0,90496,-34.0
767,19/01/2016,HOLD,-1,9682.5,9760.0,9525.5,9610.0,112059,-72.5
768,20/01/2016,HOLD,1,9390.5,9518.0,9251.5,9468.0,157827,77.5
769,21/01/2016,HOLD,1,9401.0,9667.5,9333.0,9574.5,146550,173.5
770,22/01/2016,SELL,1,9720.0,9841.5,9704.5,9817.5,111733,97.5
771,25/01/2016,HOLD,-1,9840.0,9848.0,9670.0,9671.0,88907,-169.0
772,26/01/2016,SELL,1,9591.5,9870.5,9563.0,9864.5,97545,273.0
773,27/01/2016,HOLD,-1,9817.5,9923.5,9711.0,9758.5,101134,-59.0
774,28/01/2016,HOLD,-1,9789.0,9902.5,9586.0,9663.5,130066,-125.5
775,29/01/2016,BUY,1,9796.0,9836.0,9646.0,9835.0,99317,39.0
776,01/02/2016,BUY,-1,9842.0,9846.0,9630.5,9779.5,94510,-62.5
777,02/02/2016,HOLD,-1,9735.0,9735.0,9478.5,9490.5,115253,-244.5
778,03/02/2016,HOLD,1,9475.0,9574.0,9345.0,9530.0,147812,55.0
779,04/02/2016,HOLD,-1,9602.0,9620.0,9260.5,9374.0,139347,-228.0
780,05/02/2016,HOLD,-1,9360.0,9467.5,9221.0,9245.5,124252,-114.5
781,08/02/2016,SELL,-1,9314.0,9334.5,8915.5,8995.5,158375,-318.5
782,09/02/2016,HOLD,-1,8925.5,9037.5,8767.5,8893.0,172212,-32.5
783,10/02/2016,HOLD,1,8910.5,9125.0,8868.0,8933.5,129223,23.0
