DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CLASS
09/11/2015,10995,11013.5,10786,10835,84334,-1
10/11/2015,10854,10872.5,10727,10853.5,89658,-1
11/11/2015,10864,10996.5,10836,10864.5,84831,1
12/11/2015,10890,10960.5,10711,10711,108866,-1
13/11/2015,10719,10817,10605.5,10677.5,111515,-1
16/11/2015,10500,10820.5,10482,10820.5,101360,1
17/11/2015,10829,10978.5,10782,10895,104308,1
18/11/2015,10898.5,11048.5,10876,11028.5,89121,1
19/11/2015,11050,11153.5,11034.5,11050.5,91242,1
20/11/2015,11064,11166,11049,11101.5,79155,1
23/11/2015,11135,11143,11027,11062,67284,-1
24/11/2015,11071,11083,10867,10968,115206,-1
25/11/2015,10977.5,11189,10920,11158.5,84866,1
26/11/2015,11175.5,11369,11163,11305.5,59363,1
27/11/2015,11251.5,11356,11243,11304.5,61364,1
30/11/2015,11283,11433.5,11252.5,11353.5,78843,1
01/12/2015,11415,11419,11234,11295,94360,-1
02/12/2015,11314.5,11334,11078.5,11116.5,94318,-1
03/12/2015,11150,11323.5,10641,10684,192616,-1
04/12/2015,10684,10879.5,10630.5,10867.5,116022,1
07/12/2015,10877,10994.5,10805,10930,92326,1
08/12/2015,10885,10900,10612.5,10676.5,104499,-1
09/12/2015,10689,10719.5,10447.5,10502.5,117317,-1
10/12/2015,10510,10664,10497.5,10575,80313,1
11/12/2015,10598,10606,10268.5,10281,124629,-1
14/12/2015,10350,10446.5,10119.5,10287.5,130768,-1
15/12/2015,10262,10489,10224,10448,95213,1
16/12/2015,10481,10650,10421,10634,86332,1
17/12/2015,10627,10833,10526,10691.5,96801,1
18/12/2015,10672,10737.5,10514.5,10553.5,92018,-1
21/12/2015,10551,10803.5,10475.5,10555.5,87778,1
22/12/2015,10595,10639.5,10401.5,10568.5,84686,-1
23/12/2015,10567.5,10767,10565,10758,68684,1
28/12/2015,10727.5,10774.5,10628.5,10702,43008,-1
29/12/2015,10732,10884,10731,10868,49508,1
30/12/2015,10884,10886,10693.5,10729,39642,-1
04/01/2016,10519.5,10523.5,10250,10362.5,122056,-1
05/01/2016,10389,10403.5,10172,10342.5,96924,-1
06/01/2016,10240,10287.5,10093.5,10177.5,106085,-1
07/01/2016,9986.5,10041,9810.5,9830,145484,-1
08/01/2016,9973.5,10125.5,9723,9748.5,127371,-1
11/01/2016,9696.5,9980.5,9657,9908.5,124235,1
12/01/2016,9811.5,10094.5,9776,10042,111167,1
13/01/2016,10107,10165.5,9734.5,9778,127669,-1
14/01/2016,9840,9943.5,9612,9905,159880,1
15/01/2016,9786,9834,9410,9480.5,160705,-1
18/01/2016,9566,9660.5,9454,9532,90496,-1
19/01/2016,9682.5,9760,9525.5,9610,112059,-1
20/01/2016,9390.5,9518,9251.5,9468,157827,1
21/01/2016,9401,9667.5,9333,9574.5,146550,1
22/01/2016,9720,9841.5,9704.5,9817.5,111733,1
25/01/2016,9840,9848,9670,9671,88907,-1
26/01/2016,9591.5,9870.5,9563,9864.5,97545,1
27/01/2016,9817.5,9923.5,9711,9758.5,101134,-1
28/01/2016,9789,9902.5,9586,9663.5,130066,-1
29/01/2016,9796,9836,9646,9835,99317,1
01/02/2016,9842,9846,9630.5,9779.5,94510,-1
02/02/2016,9735,9735,9478.5,9490.5,115253,-1
03/02/2016,9475,9574,9345,9530,147812,1
04/02/2016,9602,9620,9260.5,9374,139347,-1
05/02/2016,9360,9467.5,9221,9245.5,124252,-1
08/02/2016,9314,9334.5,8915.5,8995.5,158375,-1
09/02/2016,8925.5,9037.5,8767.5,8893,172212,-1
10/02/2016,8910.5,9125,8868,8933.5,129223,1
11/02/2016,8885,8914.5,8690.5,8842,154772,-1
12/02/2016,8831,8991,8806.5,8991,100855,1
15/02/2016,9108,9245,9105.5,9196.5,76327,1
16/02/2016,9262,9268,9072,9198,99623,-1
17/02/2016,9161,9418,9130,9403,94310,1
18/02/2016,9391,9548.5,9342.5,9443,101225,1
19/02/2016,9458,9474,9316,9379.5,95329,-1
22/02/2016,9435,9586,9434,9560.5,75412,1
23/02/2016,9495,9534,9394,9400,91194,-1
24/02/2016,9378,9425,9120.5,9306,130826,-1
25/02/2016,9268,9398,9197,9393,109093,1
26/02/2016,9420,9575.5,9411,9478.5,108907,1
29/02/2016,9434.5,9506.5,9326,9406.5,108197,-1
01/03/2016,9432,9776.5,9425,9773.5,118012,1
02/03/2016,9811,9838.5,9692,9780.5,97733,-1
03/03/2016,9806,9818,9706,9785,78199,-1
04/03/2016,9780,9900,9738,9802,101077,1
07/03/2016,9786.5,9809.5,9686,9783,84058,-1
08/03/2016,9713,9788,9613,9683,103139,-1
09/03/2016,9713,9840,9678,9713,98081,-1
10/03/2016,9730,9996.5,9394.5,9513,202529,-1
11/03/2016,9629.5,9895,9623.5,9895,124295,1
14/03/2016,9878,10040,9868.5,9999,95717,1
15/03/2016,9954,9976,9889,9958,79257,1
16/03/2016,9961,10023.5,9916,10001,99784,1
17/03/2016,10039.5,10069.5,9747.5,9877,121446,-1
18/03/2016,9905,9996,9855,9981.5,91723,1
21/03/2016,9952,10133,9893,9991,92777,1
22/03/2016,9988,10037.5,9791,10031,115319,1
23/03/2016,10016,10153,10000.5,10030,97235,1
24/03/2016,9999,10023.5,9876.5,9934,88249,-1
29/03/2016,9945,9994,9845.5,9975,89436,1
30/03/2016,9988,10139,9964,10072,86380,1
31/03/2016,10058,10070.5,9963,9972.5,88819,-1
01/04/2016,9915,9919,9712.5,9855,141443,-1
04/04/2016,9860.5,9946,9767,9800.5,114563,-1
05/04/2016,9760,9760,9556,9563,117263,-1
06/04/2016,9617,9700.5,9537.5,9700.5,112234,1
07/04/2016,9679,9736,9472.5,9512,115146,-1
08/04/2016,9579.5,9707.5,9570,9645.5,95283,1
11/04/2016,9649.5,9784.5,9551.5,9681.5,113936,1
12/04/2016,9706,9829.5,9645,9823.5,114235,1
13/04/2016,9883,10073,9883,10062.5,112355,1
14/04/2016,10075.5,10137,10045.5,10122.5,95852,1
15/04/2016,10104,10125,10043,10076.5,81641,-1
18/04/2016,9972.5,10183.5,9938,10177,102692,1
19/04/2016,10215,10408,10181.5,10402.5,119481,1
20/04/2016,10342,10495,10313.5,10466,102045,1
21/04/2016,10495.5,10522,10371,10430.5,104144,-1
22/04/2016,10428,10462,10357,10439,88564,1
25/04/2016,10398,10438,10261.5,10355.5,110644,-1
26/04/2016,10353,10421.5,10243,10325,105421,-1
27/04/2016,10283,10378.5,10252,10362.5,95997,1
28/04/2016,10281.5,10364,10152.5,10247.5,118411,-1
29/04/2016,10229,10282.5,10054.5,10100.5,128503,-1
02/05/2016,10080.5,10169,10076,10151,89260,1
03/05/2016,10135,10144,9930,9955,116228,-1
04/05/2016,9955,9974.5,9817,9841,102533,-1
05/05/2016,9890,9929,9805.5,9840.5,80941,-1
06/05/2016,9814,9931.5,9736,9927,104899,1
09/05/2016,9960,10076,9879,9985,110681,1
10/05/2016,10034,10114.5,9993.5,10094.5,95767,1
11/05/2016,10060.5,10068,9928,9937,91811,-1
12/05/2016,9967.5,10087.5,9838.5,9891,122946,-1
13/05/2016,9818,9979.5,9761,9878.5,108095,1
17/05/2016,9996.5,10079.5,9812,9825,113858,-1
18/05/2016,9835.5,9960,9791,9925,102204,1
19/05/2016,9879,9907,9766,9835,118699,-1
20/05/2016,9896.5,9921.5,9846,9909.5,86235,1
23/05/2016,9929,9972,9806,9839,100805,-1
24/05/2016,9811,10123,9767,10103.5,121274,1
25/05/2016,10140,10234,10128.5,10200,87761,1
26/05/2016,10175.5,10287.5,10173,10264.5,76162,1
27/05/2016,10280,10307.5,10241.5,10300,58001,1
30/05/2016,10325,10349.5,10285,10342.5,33251,1
31/05/2016,10362,10374.5,10229,10266,76473,-1
01/06/2016,10252.5,10288,10160.5,10213.5,93252,-1
02/06/2016,10178.5,10258,10152.5,10255,78869,1
03/06/2016,10250.5,10285.5,10037,10108.5,110586,-1
06/06/2016,10127.5,10153,10092,10133.5,79294,1
07/06/2016,10161,10319,10156,10252,86707,1
08/06/2016,10253,10271,10175.5,10230,74809,-1
09/06/2016,10205,10212,10043,10095.5,95855,-1
10/06/2016,10065,10081.5,9773,9795,125638,-1
13/06/2016,9709.5,9757.5,9597.5,9614,124474,-1
14/06/2016,9615,9632.5,9504,9579.5,129920,-1
15/06/2016,9565.5,9667,9559.5,9583,101733,1
16/06/2016,9491,9664.5,9429.5,9660,107082,1
17/06/2016,9659.5,9712.5,9565,9694,110946,1
20/06/2016,9865,9985,9838,9910.5,101112,1
21/06/2016,9968,10111.5,9917.5,10055.5,94426,1
22/06/2016,10097.5,10141.5,10032.5,10035,93321,-1
23/06/2016,10130,10340,10090,10314,106399,1
24/06/2016,9350,9708.5,9152.5,9476,195707,1
27/06/2016,9402.5,9580.5,9201.5,9330,147192,-1
28/06/2016,9418.5,9544.5,9397,9502,107376,1
29/06/2016,9538,9631.5,9493,9617,93721,1
30/06/2016,9616.5,9784.5,9501,9733.5,109187,1
