0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
483,0.521501458,21.32,22.9075,1.0744606,1000,100,2,10,3,50,DEVIANCE
484,0.514405762,26.58,28.865,1.085966892,450,100,2,10,6,50,DEVIANCE
485,0.517447199,14.18,15.665,1.104724965,1500,200,2,15,3,100,DEVIANCE
486,0.50862069,11.5,12.7175,1.105869565,1500,500,7,10,6,50,DEVIANCE
487,0.503496503,14.005,15.5125,1.107640129,1500,150,7,15,6,500,DEVIANCE
488,0.508108108,15.0425,16.99,1.129466512,1500,150,2,10,6,500,DEVIANCE
489,0.512855831,13.44,15.195,1.130580357,1500,200,2,15,6,50,DEVIANCE
490,0.516493056,10.625,12.0275,1.132,1500,100,4,10,3,100,DEVIANCE
491,0.51020979,19.285,22.01,1.14130153,200,150,7,10,3,100,DEVIANCE
492,0.51048951,19.365,22.15,1.143816163,1000,150,7,15,3,100,DEVIANCE
493,0.51046176,19.745,22.7375,1.151557356,1000,200,2,15,6,100,DEVIANCE
494,0.502867384,21.635,25.35,1.171712503,1000,100,7,15,6,100,DEVIANCE
495,0.511608392,17.09,20.11,1.176711527,200,150,7,10,6,50,DEVIANCE
496,0.511156187,13.275,15.7775,1.188512241,1500,500,7,15,6,1000,DEVIANCE
497,0.509337861,20.645,24.5675,1.189997578,200,100,7,15,3,500,DEVIANCE
498,0.502377622,18.11,21.61,1.19326339,200,150,7,15,6,500,DEVIANCE
499,0.498207885,15.595,18.615,1.193651811,450,100,7,10,6,50,DEVIANCE
500,0.500716846,15.315,18.31,1.195559909,1000,100,7,15,6,1000,DEVIANCE
501,0.4979092,14.315,17.22,1.202933985,450,100,7,15,3,50,DEVIANCE
502,0.50716245,18.145,21.86,1.204739598,450,200,7,10,3,500,DEVIANCE
503,0.511156187,17.295,20.9975,1.214079214,1500,500,7,10,3,1000,DEVIANCE
504,0.502150538,18.91,23.085,1.220782655,1000,100,7,15,6,500,DEVIANCE
505,0.501792115,18.575,22.745,1.224495289,450,100,7,15,3,100,DEVIANCE
506,0.512550201,11.365,14.1625,1.246150462,1500,500,2,15,3,500,DEVIANCE
507,0.506573427,16.835,21.01,1.247995248,200,150,7,15,6,100,DEVIANCE
508,0.50743007,10.265,12.8675,1.253531417,1500,150,7,15,3,50,DEVIANCE
509,0.499562937,12.03,15.2675,1.269118869,1500,150,7,15,6,1000,DEVIANCE
510,0.5020908,14.165,18.025,1.272502647,450,100,7,10,6,500,DEVIANCE
511,0.508064516,17.755,22.655,1.275978598,1500,100,7,10,3,1000,DEVIANCE
512,0.50164861,12.835,16.565,1.290611609,1500,200,7,10,3,500,DEVIANCE
513,0.504071058,16.835,21.825,1.296406296,1000,200,7,15,6,1000,DEVIANCE
514,0.509009009,9.78,12.91,1.3200409,1500,150,2,15,6,100,DEVIANCE
515,0.51882461,15.275,20.22,1.323731588,1500,200,2,10,6,500,DEVIANCE
516,0.511961722,16.025,21.305,1.329485179,1000,150,7,15,6,50,DEVIANCE
517,0.512167516,21.475,28.7125,1.33701979,200,100,7,10,6,500,DEVIANCE
518,0.512167516,21.475,28.7125,1.33701979,200,100,7,10,6,1000,DEVIANCE
519,0.512674825,17.52,23.5825,1.346033105,1500,150,7,10,6,1000,DEVIANCE
520,0.503700962,18.765,25.5,1.35891287,1000,200,7,15,6,500,DEVIANCE
521,0.514941691,18.04,24.6025,1.363774945,1000,100,2,15,6,100,DEVIANCE
522,0.506993007,13.335,18.2525,1.368766404,1500,150,7,10,3,50,DEVIANCE
523,0.515734266,20.045,27.9025,1.391993016,1500,150,7,10,6,500,DEVIANCE
524,0.512450481,15.675,21.8625,1.394736842,200,100,7,15,6,500,DEVIANCE
525,0.5,11.915,16.7,1.401594629,1500,100,7,10,6,500,DEVIANCE
526,0.509408602,10.79,15.18,1.406858202,1500,100,7,15,3,1000,DEVIANCE
527,0.502937063,16.24,23.185,1.427647783,200,150,7,15,6,1000,DEVIANCE
528,0.521171171,13.165,18.83,1.430307634,1500,150,2,15,3,50,DEVIANCE
529,0.516988062,10.13,14.575,1.438795656,1500,200,2,10,6,50,DEVIANCE
530,0.520720721,13.555,19.51,1.439321284,1500,150,2,15,3,100,DEVIANCE
531,0.526027397,14.32,20.7875,1.451641061,1500,150,4,15,3,50,DEVIANCE
532,0.496503497,12.165,17.8125,1.464241677,1500,150,7,15,3,500,DEVIANCE
533,0.511035654,14.46,21.4275,1.481846473,200,100,7,15,6,1000,DEVIANCE
534,0.514790765,16.715,25.4575,1.523033204,1000,200,2,15,3,100,DEVIANCE
535,0.504181601,17.8,27.63,1.552247191,450,100,7,15,6,100,DEVIANCE
536,0.508064516,12.54,19.475,1.553030303,1500,100,7,15,6,1000,DEVIANCE
537,0.502508961,12.385,19.43,1.568833266,1000,100,7,15,3,500,DEVIANCE
538,0.50567503,13.08,20.805,1.59059633,450,100,7,10,6,1000,DEVIANCE
539,0.519076305,11.365,18.1725,1.598988121,1500,500,2,15,6,100,DEVIANCE
540,0.509677419,16.915,27.575,1.630209873,1000,100,7,10,3,50,DEVIANCE
541,0.510035842,13.4,21.86,1.631343284,1000,100,7,10,3,500,DEVIANCE
542,0.514906146,17.965,29.47,1.640411912,1000,150,7,10,6,100,DEVIANCE
543,0.506829958,13.34,21.935,1.644302849,1500,200,7,10,6,1000,DEVIANCE
544,0.504441155,15.825,26.05,1.646129542,1000,200,7,10,3,100,DEVIANCE
545,0.515970516,17.45,29.1275,1.669197708,450,150,2,15,6,50,DEVIANCE
546,0.511977887,18.055,30.1475,1.669759069,450,150,2,10,3,100,DEVIANCE
547,0.510035842,15.195,25.475,1.676538335,1000,100,7,10,3,100,DEVIANCE
548,0.516415262,14.765,24.8475,1.682864883,1500,100,2,10,3,50,DEVIANCE
549,0.506829958,11.345,19.235,1.695460555,1500,200,7,15,3,1000,DEVIANCE
550,0.514198783,16.06,27.9625,1.741127024,1500,500,7,15,3,500,DEVIANCE
551,0.523326572,14.9,25.9475,1.741442953,1500,500,7,10,6,500,DEVIANCE
552,0.515981735,11.89,20.8875,1.756728343,1500,150,4,10,3,100,DEVIANCE
553,0.509753404,12.535,22.05,1.759074591,1000,150,7,10,3,50,DEVIANCE
554,0.520661157,12.83,23.025,1.79462198,1500,200,2,15,3,50,DEVIANCE
555,0.508108108,10.18,18.37,1.804518664,1500,150,2,15,6,50,DEVIANCE
556,0.511328671,18.265,33.01,1.807281686,200,150,7,15,3,500,DEVIANCE
557,0.509337861,15.575,28.1825,1.809470305,200,100,7,15,3,1000,DEVIANCE
558,0.501311189,11.56,21.0175,1.818122837,1500,150,7,10,3,500,DEVIANCE
559,0.515589569,15.015,27.415,1.825840826,200,100,2,10,3,50,DEVIANCE
560,0.508960573,15.09,28.95,1.918489066,1500,100,7,15,6,100,DEVIANCE
561,0.501443001,12.5825,24.2675,1.928670773,1000,200,2,10,6,100,DEVIANCE
562,0.502508961,12.285,23.7,1.929181929,1000,100,7,15,3,1000,DEVIANCE
563,0.504778973,16.355,31.555,1.929379395,450,100,7,15,6,500,DEVIANCE
564,0.505376344,14.08,27.285,1.937855114,450,100,7,10,3,1000,DEVIANCE
565,0.508714084,15.13,29.62,1.957699934,1500,200,7,15,3,100,DEVIANCE
566,0.526276276,15.92,31.2525,1.963096734,1000,150,2,15,3,50,DEVIANCE
567,0.511328671,19.41,38.28,1.972179289,200,150,7,15,3,1000,DEVIANCE
568,0.504945831,12.45,24.755,1.988353414,1500,200,7,10,3,50,DEVIANCE
569,0.519894895,15.91,32.2125,2.024670019,1000,150,2,15,3,100,DEVIANCE
570,0.517241379,12.13,24.6225,2.029884584,1500,500,7,10,3,500,DEVIANCE
571,0.520772595,15.475,31.5725,2.040226171,1000,100,2,10,3,100,DEVIANCE
572,0.519776876,15.635,32.3675,2.070195075,1500,500,7,15,6,50,DEVIANCE
573,0.502688172,15.425,31.985,2.073581848,450,100,7,15,6,1000,DEVIANCE
574,0.499702204,11.025,22.895,2.076643991,450,150,4,15,3,100,DEVIANCE
575,0.513016412,12.49,26.1825,2.096277022,200,100,7,15,6,100,DEVIANCE
576,0.512778905,15.89,33.55,2.111390812,1000,500,7,15,3,50,DEVIANCE
577,0.517473118,13.115,28.235,2.152878384,1500,100,7,15,6,500,DEVIANCE
578,0.516506603,12.085,26.1875,2.166942491,450,200,4,10,3,50,DEVIANCE
579,0.51048951,9.225,20.5675,2.229539295,1500,150,7,10,6,50,DEVIANCE
580,0.515804196,18.665,41.705,2.234395928,200,150,7,10,6,500,DEVIANCE
581,0.515804196,18.665,41.705,2.234395928,200,150,7,10,6,1000,DEVIANCE
582,0.510304659,13.585,30.815,2.268310637,1500,100,7,15,6,50,DEVIANCE
583,0.505887894,13.07,30.055,2.299540933,1500,200,7,15,6,100,DEVIANCE
584,0.513548951,12.925,29.7775,2.303868472,1500,150,7,10,6,100,DEVIANCE
585,0.52020202,13.735,32.145,2.340371314,1500,200,2,10,3,50,DEVIANCE
586,0.51643002,15.89,37.315,2.348332284,1000,500,7,10,3,50,DEVIANCE
587,0.514069264,13.7025,32.7425,2.389527458,1000,200,2,10,3,100,DEVIANCE
588,0.506272401,12.54,30.105,2.400717703,1500,100,7,15,3,500,DEVIANCE
589,0.514685315,15.38,37.635,2.447009103,200,150,7,15,3,50,DEVIANCE
590,0.509408602,13.425,33.75,2.51396648,1500,100,7,10,6,100,DEVIANCE
591,0.520408163,11.715,29.6525,2.531156637,1500,200,4,10,3,50,DEVIANCE
592,0.519713262,11.865,30.67,2.584913611,1500,100,7,15,3,100,DEVIANCE
593,0.508243728,11.605,30.95,2.666953899,1000,100,7,10,6,50,DEVIANCE
594,0.519578313,11.365,31.0125,2.728772547,1500,500,2,15,6,50,DEVIANCE
595,0.515720081,13,35.7225,2.747884615,1500,500,7,10,6,100,DEVIANCE
596,0.517482517,13.255,36.635,2.763862693,1000,150,7,10,3,100,DEVIANCE
597,0.531506849,14.215,40.9725,2.882342596,1500,150,4,10,3,50,DEVIANCE
598,0.511111111,12.98,38.475,2.964175655,1000,100,7,15,3,100,DEVIANCE
