0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
150,0.497959184,1837.5,-327,-0.177959184,200,100,2,15,6,500,DEVIANCE
151,0.502520161,1318.5,-234,-0.177474403,1500,500,4,15,3,500,DEVIANCE
152,0.49127789,1981.5,-350.5,-0.176886197,1000,500,7,15,3,500,DEVIANCE
153,0.498174442,1909.5,-337.5,-0.17674784,1000,500,7,10,6,50,DEVIANCE
154,0.497668998,1773,-312,-0.175972927,200,150,7,15,3,500,DEVIANCE
155,0.494460641,1786,-312,-0.174692049,200,100,2,10,6,1000,DEVIANCE
156,0.498144712,1789,-300.5,-0.167970933,1500,200,4,10,3,100,DEVIANCE
157,0.488385944,977.5,-156,-0.159590793,200,150,4,10,6,1000,DEVIANCE
158,0.508855155,1655,-263,-0.158912387,450,100,7,15,6,500,DEVIANCE
159,0.506029685,1733,-274.5,-0.158395845,1500,200,4,15,3,1000,DEVIANCE
160,0.505040323,2022,-317,-0.15677547,1500,500,4,15,6,500,DEVIANCE
161,0.503496503,1331,-198.5,-0.149135988,450,150,7,15,3,50,DEVIANCE
162,0.5003885,1804.5,-253.5,-0.140482128,1000,150,7,10,3,1000,DEVIANCE
